Author,Date,Study,Setting,Country,PatientsGroup,Number,Age,Male,HTN,,DM,CVD,Outcome,NOS (0~8)
Rossi et al.34,"27.02.20-
02.04.20","Prospective multi-center
observational",Province of Reggio Emilia,Italy,"In-hospital only
(Cohort study)",1075,"70.4
±15.1",657,280,,185,115,Death,7
Russo V et al.35,"01.02.20-
31.04.20",Retrospective single-center observational,Five Italian Hospitals,Italy,"In-hospital based
(Case series)",192,67.7,115,111,,42,26,Death,6
Shang W et al.36,"16.01.28-
28.02.20","Retrospective single-center
observational","Wuhan Forth Hospital, Hubei",China,"In-hospital based
(Case series)",443,"56
(43-
66)",220,131,,63,44,"Severe   COVID-19: respiratory    distress
or need ICU care",6
Shi Y et al.37,"01.01.20-
17.02.20",Retrospective multi-center observational,Zhejiang Province of China,China,"In-hospital based
(Case series)",487,"46
±18.0",259,99,,29,11,Severe   COVID-19: respiratory distress,7
Wan S et al.38,"23.01.20-
08.02.20","Retrospective
single-center observational","Chongqing University
Three Gorges Hospital, Chongqing",China,"In-hospital based
(Case series)",135,"47
(36-
55)",73,13,,12,7,"Severe   COVID-19:
respiratory    distress or need ICU care",7
Wang K et al.39,"26.01.20-
05.02.20","Retrospective
single-center observational","Huazhong University of
Science and Technology, Hubei",China,"In-hospital based
(Case series)",548,60.2,279,166,,83,34,Death,5
Wang L et al.40,01.01.20-,Retrospective,RenmIn-hospital    of,China,In-hospital,339,69,166,138,,54,53,Death,5
,43984,single-center observational,"Wuhan university, Hubei",,"based
(Case series)",,"(65-
76)",,,,,,,
Wang X et al.41,"03.02.20-
21.02.20",Prospective single-center observational,"Tongji Hospital, Hubei",China,"In-hospital based
(Cohort study)",131,"49
(36-
62)",59,4,,2,3,Severe   COVID-19: respiratory distress,7
Wang Y et al.42,"01.01.20-
01.02.20","Retrospective single-center
observational","Central Hospital of Wuhan, Hubei",China,"In-hospital based
(Case series)",110,"46.9
±17.6",48,23,,15,,Severe   COVID-19: respiratory distress,6
Wang D et al.43,"01.01.20-
28.01.20",Retrospective single-center observational,"Zhongnan Hospital of Wuhan University, Hubei",China,"In-hospital based
(Case series)",138,"56.0
(42-
68)",75,43,,14,20,Severe   COVID-19: need ICU care,6
Wang Z et al.44,"16.01.20-
29.01.20","Retrospective
single-center observational","Wuhan Union Hospital, Hubei",China,"In-hospital based
(Case series)",69,"42.0
(35-
62)",32,9,,7,8,Severe   COVID-19: respiratory distress,6
Xu B et al.45,"26.12.19-
01.03.20",Retrospective single-center observational,"Hubei Provincial Hospital of traditional Chinese and Western
medicine, Hubei",China,"In-hospital based
(Case series)",187,"62
(48.5-
71)",103,50,,,19,Death,7
Xu PP et al.46,"10.01.20-
13.03.20","Retrospective multi-center
observational",16 tertiary hospitals,China,"In-hospital based
(Case series)",703,46.1 ± 15.2,382,118,,64,45,Death,7
Yadaw AS et al.47,-06.04.20,"Prospective
multi-center observational","Mount Sinai Hospital, New York",USA,"In-hospital based
(Cohort study)",3841,56.2 ± 19.0,2125,869,,608,,Death,7
Yang P et al.48,"01.01.20-
31.03.20","Retrospective
single-center observational","Chongqing Public
Health Medical Center, Chongqing",China,"In-hospital based
(Cohort study)",133,49.2,72,16,,22,6,"Severe   COVID-19:
respiratory    distress or need ICU care",5
Yuan B et al.49,-07.03.20,"Retrospective multi-center
observational","Shenzhen Municipal Health Commission,
Shenzhen",China,"In-hospital based
(Case series)",417,"45.4
±17.7",198,63,,32,28,"Severe   COVID-19: respiratory    distress
or need ICU care",7
Zhou F et al.50,"29.12.19-
01.31.20","Retrospective multi-center
observational","Two tertiary hospitals, Hubei",China,"In-hospital based
(Cohort study)",191,"56
(46.0-
67.0)",119,58,,36,15,Death,7
Zhu Z et al.51,"23.01.20-
20.02.20","Retrospective single-center
observational","Hwa Mei Hospital, Zhengzhou",China,"In-hospital based
(Case series)",127,50.9 ± 15.3,45,31,,10,6,"Severe   COVID-19: respiratory    distress
or need ICU care",6
